Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
396-16,Niedringhaus,KY,Russell,"Lawless Road, Jamestown",W17-60,Raccoon,2016,1,Male,Adult,3.54 kg,"Canine distemper, acanthocephaliasis",#KDFWR-W-2016-90.  Rabies not detected,08/04/2016,08/22/16,Mason/Stasiak,KYDFWR,
439-17,Dalton,GA,Oconee,Watkinsville,W18-087,Raccoon,2017,1,Male,Juvenile,1.5 kg,Canine distemper.  Rabies virus not detected,,08/21/17,08/28/17,Swayne/Johannsen,GADNR,
037-18,Dalton,NC,Jones,"Field along Johnson Field Road (35.05275, -77.28886)",W18-355,Raccoon,2018,1,Male,Adult,2.7 kg,Canine distemper.  Rabies virus not detected,,01/31/18,02/06/2018,Stanford,NCWRC,
596-18,Kunkel,KY,Barren,"37.00228, 85.5446",W19-255,Raccoon,2018,1,Male,Juvenile,Unknown,Canine distemper; eosinophilic and granulomatous bronchointerstitial pneumonia; eosinophilic esophagitis and enteritis,#KDFWR-W-2018-116. Rabies virus was not detected.,10/31/18,11/30/18,Lynch/Hemberger,KYDFWR,
250-16,Elsmo,KY,Green,"Ebenezer Road, Greensburg",W16-690,Raccoon,2016,1,Female,Adult,4.0 kg,Canine distemper; Hepatozoon spp. infection,#KDFWR-W-2016-73. Rabies not detected,05/10/2016,06/28/16,Mason/Stasiak,KYDFWR,
161-19,Kunkel,VA,Unknown,Henrico,W19-558,Raccoon,2019,1,Unknown,Adult,3.03 kg,Canine distemper; Leptospirosis (suspect),Rabies virus was not detected.,04/09/2019,05/13/19,Engelmeyer/ Kirchgessner,VADGIF,
430-16,Niedringhaus,KS,Lyon,"38.432140, -96.264896",W17-85,Raccoon,2016,1,Male,Juvenile,1.65 kg,Canine distemper; lung flukes (Paragonimus spp.),Rabies virus and canine parvovirus were not detected.,08/19/16,10/06/2016,Hesting,KSDWPT,
172-16,Niedringhaus,KY,Shelby,Simpsonville,W16-618,Raccoon,2016,1,Male,Juvenile,Unknown,Canine distemper; parvovirus infection,#KDFWR-W-2016-45.  Rabies was not detected.,03/31/16,06/06/2016,Stasiak,KYDFWR,
124-19,Kunkel,LA,Livingston,Cedar Court,W19-525,Raccoon,2019,1,Female,Adult,2.21 kg,Canine distemper; Pneumonia (likely parasitic); Parasitic gastroenteritis,#COON-UF-Livingston-18March2019. Rabies virus was not detected.,03/19/19,04/08/2019,Yeldell/LaCour,LADWF,
603-19,McKenzie,PA,Clarion,Unknown,W19-856,Raccoon,2019,1,Male,Adult,Unknown,Canine distemper; pulmonary larval nematodiasis,#P1923187,09/17/19,09/30/19,Luley,PA ST Lab,
277-17,Dalton,FL,Duval,Jacksonville,-,Raccoon,2017,1,Female,Juvenile,4.5 kg,Canine distemper; rabies virus not detected,#170530-01,06/07/2017,06/14/17,Clemons/Cunningham,FLFWCC,
163-17,Bahnson,LA,Rapides,"Third Street, Pineville",W17-555,Raccoon,2017,1,Female,Adult,2.7 kg,Canine distemper; schistosomiasis,Rabies was not detected.,03/22/17,04/12/2017,Jones,LADWF,
577-18,Kunkel,LA,Jefferson,"Lake Michigan Drive, Hardy",W19-237,Raccoon,2018,1,Female,Adult,3.89 kg,Canine distemper; Schistosomiasis,#COON-AF-Jefferson-22October2018.,10/24/18,11/22/18,Burks/LaCour,LADWF,
125-19,Kunkel,LA,St. Tammany,"Estate Drive South, Mandeville",W19-526,Raccoon,2019,1,Female,Adult,4.67 kg,Canine distemper; Schistosomiasis,Rabies virus was not detected.,03/19/19,04/08/2019,Breland,LADWF,
404-19,Kunkel,KS,Marshall,"North Nebraska Street, Waterville",W19-792,Raccoon,2019,1,Male,Adult,5.4 kg,Canine distemper; Schistosomiasis,Rabies virus was not detected.,07/31/19,09/17/19,Henry/ Hesting,KSDWPT,
576-18,Kunkel,LA,St. Tammany,"Ingram Road, Covington",W19-236,Raccoon,2018,1,Male,Adult,3.64 kg,Canine distemper; Schistosomiasis; Leptospirosis (suspect),#COON-AM-St Tammany-22October2018. Rabies virus was not detected.,10/24/18,11/19/18,Day/LaCour,LADWF,
148-19,Kunkel,VA,Henrico,Unknown,W19-540,Raccoon,2019,1,Female,Adult,1.6 kg,Canine distemper; Secondary bacterial pneumonia due to Streptococcus canis,Rabies virus was not detected.,03/29/19,05/01/2019,Engelmeyer/ Kirchgessner,VADGIF,
189-16,Ruder,KS,Brown,"270 Street, Sabetha",W16-650,Raccoon,2016,1,Male,Adult,2.1 kg,Canine distemper; secondary bacterial pneumonia Streptococcus canis isolated,Rabies not detected,04/06/2016,06/13/16,Warner,KSDWPT,
226-17,Niedringhaus,KS,Pottawatomie,Turtle Creek State Park,W17-632,Raccoon,2017,1,Male,Adult,6.6 kg,Canine distemper; sepsis (Streptococcus spp. isolated),Rabies and Mycoplasma spp. were not detected.,04/27/17,05/30/17,Thornburg,KSDWPT,
095-14,Last,VA,Portsmouth City,Portsmouth,W14-100,Raccoon,2014,1,Male,Adult,3.185 kg,Canine distemper; toxoplasmosis; cryptosporidiosis,Negative for rabies,03/19/14,05/09/2014,Acker,VADGIF,
647-15,Elsmo,KY,Taylor,"Old Lebanon Rd., Campbellsville",W16-393,Raccoon,2015,1,Male,Adult,4.0 kg,Canine distemper; Toxoplasmosis; Secondary bacterial dermatitis,#KDFWR-W-2015-100.  Rabies not detected,12/02/2015,02/01/2016,Mason,KYDFWR,
299-19,Kunkel,LA,Tangipahoa,"Crapanzano Road, Hammond",W19-691,Raccoon,2019,1,Female,Juvenile,1.345 kg,Canine distemper; Verminous pneumonia (suspected Crenosoma vulpis),#COON-JF-Tangipahoa-21June2019.  Rabies virus was not detected.,06/25/19,07/16/19,Yeldell/LaCour,LADWF,
359-16,Niedringhaus,PA,Butler,Winfield Township,W17-27,Raccoon,2016,1,Female,Juvenile,0.985 kg,Carbamate intoxication (carbofuran detected),#16NW0016. The chain of custody number is 74167.,07/21/16,10/04/2016,Coup/Brown,PAGC,
303-17,Dalton,FL,Marion,Ocala,W17-722,Raccoon,2017,1,Female,Adult,4.5 kg,Cause of death undetermined. Lymphodepletion; severe parasitism (suspect); possible trauma,#170526-02.  Rabies and canine distemper viruses were not detected.,06/21/17,06/28/17,Clemons/Cunningham,FLFWCC,
423-18,Niedringhaus,VA,Franklin,"Muse Field Road, Rocky Mount",W19-132,Raccoon,2018,1,Male,Adult,5.54 kg,Congenital hypotrichosis,Rabies and canine distemper viruses were not detected.,09/05/2018,10/10/2018,Kirchgessner,VADGIF,
205-15,Niedringhaus,KY,Woodford,Varsailles,W15-381,Raccoon,2015,1,Male,Adult,3.30 kg,Emaciation,Rabies and canine distemper viruses were not detected. No underlying cause of the neurological signs was identified.,05/12/2015,06/08/2015,Stasiak,KYDFWR,
333-16,Niedringhaus,KY,Rowan,Twin Knobs Campground,W17-007,Raccoon,2016,1,Male,Adult,3.41 kg,Emaciation,Rabies and canine distemper viruses were not detected.,07/01/2016,08/02/2016,Stasiak,KYDFWR,
379-15,Bryan,KS,Washington,"6.5 miles north, 2.5 miles west of Clifton",W16-124,Raccoon,2015,1,Female,Adult,3.8 kg,Emaciation and renal mineralaization,W16-124. Canine distemper and rabies viruses not detected,08/19/15,10/15/15,Thornton,KSDWPT,
364-16,Bahnson,KY,Franklin,Frankfort,W17-035,Raccoon,2016,1,Female,Adult,Unknown,Emaciation and suspect trauma (per submitter); pulmonary fibrosis,#KDFWR-W-2016-87. Rabies and canine distemper virus were not detected.,07/26/16,08/15/16,Stasiak,KYDFWR,
355-17,Niedringhaus,LA,St. Tammany,near Covington,W18-054,Raccoon,2017,1,Male,Juvenile,3.5 kg,Encephalitis of unknown origin,"#COON-JM-StTammany-20July2017.  Rabies virus, canine distemper virus, parvovirus, and arboviruses were not detected.",07/25/17,08/28/17,Anderson/LaCour,LADWF,
672-15,Fenton,LA,St. Tammany,"North Lake Drive, Mandeville",W16-412,Raccoon,2015,1,Female,Adult,2.78 kg,End stage kidney with amyloidosis (suspect renal failure); schistosomiasis (likely Heterobilharzia americana),Rabies and canine distemper virus were not detected.,12/18/15,01/27/16,LaCour,LADWF,
601-16,Bryan,KY,Mason,"Lucretia Street, Dover",W17-254,Raccoon,2016,1,Male,Adult,4.7 kg,Fungal encephalitis,#KDFWR-W-2016-111. Exposure to a trace amount of the anticoagulant rodenticide Brodifacoum was detected.  Rabies virus or canine distemper virus was not detected.,10/25/16,01/03/2017,Mattox/Stasiak,KYDFWR,
169-15,Fenton,GA,Glynn,"Clam Creek Parking Lot, Jekyll Island",,Raccoon,2015,1,Female,Adult,2.69 kg,"Gastric foreign body, multiple age-related changes, and localized myiasis",#M15015.  Rabies and canine distemper virus not detected,04/20/15,05/20/15,,,
988-19,Nemeth,FL,Marion,Ocala,W19-1144,Raccoon,2019,1,Male,Adult,13.5 lbs,Generalized hypotrichosis (presumed congenital),#191212-01,12/23/19,01/15/20,Cunningham,FLFWCC,
483-15,Ruder,LA,East Baton Rouge,Old Hammond Highway,W16-206,Raccoon,2015,1,Female,Adult,Unknown,Hepatic eosinophilic granulomas presumably due to previous parasitic migration ( incidental finding),#RC43,09/17/15,11/11/2015,LaCour,LADWF,
484-15,Ruder,LA,East Baton Rouge,Old Hammond Highway,W16-207,Raccoon,2015,1,Female,Juvenile,Unknown,Hepatic eosinophilic granulomas presumably due to previous parasitic migration ( incidental finding),#RC49,09/17/15,11/10/2015,LaCour,LADWF,
336-17,Niedringhaus,LA,East Baton Rouge,"Carol Marie Drive, Baton Rouge",W18-037,Raccoon,2017,1,Male,Juvenile,1.9 kg,Jaundice; hemosiderosis,#COON-JM-EastBatonRouge-12July2017.  Rabies and canine distemper viruses were not detected.,07/13/17,08/14/17,Anderson/LaCour,LADWF,
380-16,Bahnson,KY,Hardin,"Deer Run Way, Elizabethtown",W17-48,Raccoon,2016,1,Female,Juvenile,1.4 kg,Jaw abscess; Streptococcus canis and Staphylococcus pseuintermedius isolated,#KDFWR-W-2016-89.  Rabies and canine distemper virus were not detected.,07/29/16,09/09/2016,Logsdon/Stasiak,KYDFWR,
385-17,Bahnson,LA,Plaquemines,"Naval Air Station Joint Reserve Base, New Orleans",-,Raccoon,2017,1,Female,Juvenile,2.27 kg,Leptospira spp. exposure,#COON-JF-Plaquemines-30June2017.  Rabies and canine distemper viruses were not detected,08/08/2017,08/11/2017,LaCour,LADWF,
173-18,Niedringhaus,LA,Tangipahoa,"Ponchatoula (30.433983, -90.449501)",W18-490,Raccoon,2018,1,Female,Juvenile,3.145 kg,"Meningoencephalitis, presumed due to Sarcocystis sp.",#COON-JF-Tangipahoa-30April2018.  Rabies virus and canine distemper virus were not detected.,05/02/2018,06/21/18,Anderson/LaCour,LADWF,
118-18,Dalton,KS,Thomas,"39.385274, -101.199223",W18-437,Raccoon,2018,1,Female,Adult,4.25 kg,Multiple chronic bacterial infections.,Pasturella multocida was isolated from right carpus; Streptococcus canis and Staphylococcus delphini were isolated from perianal fistulous tracts.,03/28/18,04/18/18,Athen/Hesting,KSDWPT,
104-16,Bahnson,KY,Oldham,Highway 42,W16-539,Raccoon,2016,1,Male,Adult,4.33 kg,Parvoviral enteritis,#KDFWR-W-2016-21.  Rabies and canine distemper viruses were not detected.,02/25/16,03/28/16,Stasiak,KYDFWR,
077-17,Niedringhaus,GA,McIntosh,"Sutherland Plantation, Marsh View Drive",W17-438,Raccoon,2017,1,Male,Juvenile,3.33 kg,Parvoviral enteritis,Rabies and canine distemper viruses were not detected.,02/02/2017,03/23/17,Danley,GADNR,
386-18,Bahnson,FL,Broward,Dania Beach,W19-103,Raccoon,2018,1,Female,Juvenile,3.74 kg,Parvoviral enteritis,Rabies and canine distemper viruses were not detected.,08/21/18,09/24/18,Schneider,SFWC,
651-19,Weyna,VA,-,Hampton,W19-890,Raccoon,2019,1,Female,6 mths,3.37 kg,Parvoviral enteritis (canine parvovirus detected),Rabies and canine distemper viruses were not detected.,09/25/19,11/01/2019,Kirchgessner,VAGDIF,
175-17,Fenton,NC,Washington,Pettigrew State Park ,W17-565,Raccoon,2017,1,Female,Adult,3.04 kg,Parvoviral enteritis; schistosomiasis,Salmonella spp. and Yersinia enterocolitica was not detected.,03/30/17,04/19/17,Turner,NCWRC,
210-14 Addendum,Ballard,FL,Lee,Sanibel Island,"W14-14, W14-15, W14-16",Raccoon,2014,7,Both,Juvenile,141-496 g,Parvovirus,Raccoon-origin canine parvovirus-2a strain (GenBank accession JN867618.1),07/22/14,09/24/14,Wolf,FLFWCC,
210-14,Ballard,FL,Lee,Sanibel Island,"W14-14, W14-15, W14-16",Raccoon,2014,7,Both,Juvenile,141-496 g,Parvovirus,"CROW #14-1523,       14-1795, 14-1930,       14-1950, 14-2022,     14-2059, 14-2060",07/22/14,09/08/2014,Wolf,FLFWCC,
209-19,Niedringhaus,NC,Perquimans,"Ocean Highway, Hertford; 36.210092, -76.4108859",W19-604,Raccoon,2019,1,Male,Adult,2.515 kg,Pediculosis (lice infestation),,05/03/2019,05/13/19,Turner,NCWRC,
308-17,Niedringhaus,LA,Lafourche,"Len Court, Thibodaux",W17-726,Raccoon,2017,1,Female,Adult,5.07 kg,Pneumonia and hepatitis,#RC-AF-Lafourche-23June2017.  No rabies and canine distemper viruses were detected.,06/27/17,07/27/17,Anderson/LaCour,LADWF,
400-16,Niedringhaus,LA,Natchitoches,Natchitoches,W17-64,Raccoon,2016,1,Female,Adult,3.54 kg,"Pneumonia, schistosomiasis",Canine distemper virus was not detected.,08/05/2016,08/22/16,Holten,LADWF,
191-15,Elsmo,KS,Barton,SE 1/4 Sec. 19 T18S R13W,W15-391,Raccoon,2015,1,Male,Juvenile,3.175 kg,Polyarthritis; Mycoplasma spp. identified,"Rabies virus, canine distemper virus, and Toxoplasma gondii infection were not detected.",05/05/2015,07/06/2015,Swank,KSDWPT,
394-14,Niedringhaus,KY,Clay,Oneida Institute Farm,W15-165,Raccoon,2014,1,Female,Adult,2.05 kg,Poor body condition; Leptospira sp. and multi-centric Sarcocystis sp. infection detected.,Rabies and canine distemper viruses were not detected.,12/10/2014,01/15/15,,KYDFWR,
054-15,Niedringhaus,GA,Glynn,Jekyll Island,W15-249,Raccoon,2015,1,Unknown,Unknown,Unknown,Rabies,#14094,02/23/15,04/20/15,Ricks,GADNR,
168-15,Fenton,GA,Glynn,Indian Mounds Golf Course on Jekyll Island,W15-363,Raccoon,2015,1,Male,Adult,4.63 kg,Rabies,#M15007.  Canine distemper virus not detected,04/20/15,06/29/15,,,
304-15,Niedringhaus,GA,Fulton,"Worthington Hills Drive, Roswell",W16-23,Raccoon,2015,1,Unknown,Adult,4.42 kg,Rabies,,07/13/15,08/21/15,Larson,GADNR,
117-16,Elsmo,GA,Glynn,"north of Maurice Road, Jekyll Island",W16-564,Raccoon,2016,1,Unknown,Adult,Unknown,Rabies,#M15064.  Canine distemper virus not detected,03/02/2016,03/25/16,Ricks,GADNR,
118-16,Elsmo,GA,Glynn,"Riverview Road, Jekyll Island",W16-565,Raccoon,2016,1,Unknown,Adult,Unknown,Rabies,#M15061.  Canine distemper virus not detected,03/02/2016,03/25/16,Ricks,GADNR,
111-17,Bahnson,PA,Montgomery,Springfield Township,W17-486,Raccoon,2017,1,Unknown,Unknown,Unknown,Rabies,#17SE0004. ,02/23/17,03/21/17,Morgan/Brown,PAGC,
198-17,Dalton,NC,Onslow,Camp Lejeune,W17-604,Raccoon,2017,1,Male,Adult,5 kg,Rabies,CDC confirmed rabies virus infection and determined the strain to be consistent with the rabies virus variant found in raccoons in the eastern U.S.,04/11/2017,04/25/17,Stanford/Palamar,NCWRC,
543-17,Niedringhaus,NC,Onslow,"Petersburg Road, Richlands",W18-159,Raccoon,2017,1,Male,Adult,3.31 kg,Rabies,Canine distemper virus was not detected.,09/26/17,10/18/17,Shaw/Kent,NCWRC,
580-19,Dugovich,WV,Randolph,Mingo,W19-893,Raccoon,2019,1,Male,Juvenile,1.3 4 kg,Rabies,Canine distemper virus was not detected.,09/12/2019,10/22/19,Crum,WVDNR,
228-14,Ballard,GA,Fulton,Private residence,W15-42,Raccoon,2014,1,Male,Juvenile,2.2 kg,Rabies virus infection,CWD not detected,08/05/2014,10/08/2014,Tigyi,Vet Med Center,
616-18,Kunkel,NC,Northampton,Bennett Farm,W19-268,Raccoon,2018,1,Female,Adult,4.39 kg,Rabies; Subcutaneous abscess,,11/02/2018,12/20/18,Batts,NCWRC,
028-17,Dalton,NC,New Hanover,Wilmington,W17-400 - W17-404,Raccoon,2017,5,"A, C: Male. B, D, E: Female.",Adult,"A: 3 kg, B: 2.16 kg. C: 2.5 kg. D: 2.43 kg.",Raccoons A-E: Canine distemper,Rabies not detected,01/10/2017,02/17/17,Kent,NCWRC,
152-19,Dalton,WV,Raleigh,"North Pike Street, Beckley",W19-547,Raccoon,2019,1,Male,Adult,5.3 kg,Subcutaneous bacterial abscess (bacterial sepsis),Canine distemper virus and rabies virus were not detected.,04/04/2019,04/22/19,Morris,WVDNR,
267-16,Niedringhaus,KY,Pulaski,Somerset,W16-709,Raccoon,2016,1,Female,Adult,6.035 kg,Suspect anticoagulant rodenticide toxicosis (brodifacoum detected),#KDFWR-W-2016-76. Infection with canine distemper virus or rabies virus was not detected.,05/19/16,07/06/2016,Strunk/Stasiak,KYDFWR,
421-15,Niedringhaus,LA,Orleans,"Milne Blvd, New Orleans",W16-149,Raccoon,2015,1,Male,Adult,7.4 kg,Suspect canine distemper,Rabies not detected,09/02/2015,10/15/15,Ernst,LADWF,
237-16,Bryan,KY,Campbell,Highland Heights,W16-715,Raccoon,2016,1,Male,Adult,4.1 kg,Suspect canine distemper,#KDFWR-W-2016-71.  Rabies not detected,05/03/2016,07/06/2016,Stasiak,KYDFWR,
354-17,Niedringhaus,LA,Beauregard,"Ragle Road, Longville",W18-053,Raccoon,2017,1,Female,Juvenile,3.2 kg,Suspect trauma,Rabies and canine distemper viruses were not detected.,07/25/17,08/14/17,Legleu/Berry,LADWF,
066-19,Dalton,LA,Rapides,Fortune Loop,W19-451,Raccoon,2019,1,Male,Adult,5.4 kg,Systemic schistosomiasis,Canine distemper virus was not detected.,02/08/2019,02/22/19,Jones,LADWF,
038-14,Last,KY,Adair,Knifley,,Raccoon,2014,1,Male,Adult,4.77 kg,Trauma,Rabies and canine distemper viruses were not detected.,01/23/14,03/14/14,Danks,KYDFWR,
269-14,Elsmo,PA,Wayne,Honesdale,W15-55,Raccoon,2014,1,Male,Adult,9.2 kg,Trauma,PGC #14NE0013,09/11/2014,09/26/14,Brown,PAGC,
314-17,Niedringhaus,LA,East Baton Rouge,Dairymple Drive,W18-004,Raccoon,2017,1,Male,2 mths,Unknown,Trauma,COON-JM-E.BatonRouge-28June2017.  Rabies virus and canine distemper virus were not detected.,06/29/17,07/11/2017,LaCour,LADWF,
333-18,Niedringhaus,AL,Greene,Eutaw,-,Raccoon,2018,1,Male,Adult,3.475 kg,Trauma,Rabies virus and canine distemper virus were not detected.,07/31/18,08/29/18,Cook,ALDWFF,
345-18,Niedringhaus,AL,Greene,near Eutlaw,W19-077,Raccoon,2018,1,Male,Adult,4.415 kg,Trauma,Rabies virus and canine distemper virus were not detected.,08/03/2018,08/31/18,Cook,ALDWFF,
091-19,Niedringhaus,GA,Glynn,Jekyll Island,W19-490,Raccoon,2019,1,Female,Juvenile,0.970 kg,Trauma (suspect predation),"Parvovirus, rabies virus, and canine distemper virus were not detected.",02/22/19,03/14/19,Colbert/Horan,Jekyll Island/ GADNR,
595-16,Bahnson,GA,Oconee,"Pine Oak Court, Bishop",W17-246,Raccoon,2016,1,Female,Adult,2.9 kg,Trauma and rabies,Canine distemper virus was not detected.,10/21/16,12/14/16,Yabsley/Johannsen,SCWDS/GADNR,
017-15,Fenton,GA,Clarke,"Intramural Fields, UGA Campus",W15-212,Raccoon,2015,1,Male,Sub-adult,4.12 kg,Trauma and suspect canine distemper,Rabies not detected.  A sample of brain testing result was suspect. (Lung was negative),01/27/15,03/13/15,Yabsley/Ozier,GADNR,
182-15,Fenton,KY,Woodford,247 Breckenridge Versailles,W15-379,Raccoon,2015,1,Male,Juvenile,2.902 kg,"Trauma, canine distemper, and secondary bacterial pneumonia with Streptococcus canis isolated",Rabies not detected,04/24/15,05/19/15,,,
282-17,Dalton,GA,Glynn,"Review, Jekyll Island",-,Raccoon,2017,1,Male,Juvenile,380 g,Trauma.  Rabies virus and canine distemper virus not detected.,Molecular testing for parvovirus is pending.,06/08/2017,06/20/17,Moore/Mixon,GADNR,
319-14,Fenton,LA,Livingston,Denham Springs,W15-129,Raccoon,2014,1,Male,Juvenile,2.16 kg,Trauma; emaciation,Rabies and canine distemper viruses were not detected.,10/15/14,11/19/14,Ernst,LADWF,
093-14,Last,KY,Mercer,Old Fort Harrod State Park,W14-99,Raccoon,2014,1,Male,Adult,2.675 kg,Trauma; pyothorax,Negative for rabies and canine distemper virus,03/14/14,04/23/14,Danks,KYDFWR,
342-16,Ruder,LA,Rapides,"Shreveport Highway, Pineville",W17-18,Raccoon,2016,1,Female,Juvenile,Unknown,Undetermined,VET2-RR2.  Rabies and canine distemper viruses were not detected.,07/08/2016,08/31/16,Berry,LADWF,
486-16,Ruder,LA,St. Tammany,"Groggin Mill Lane, Slidell",W17-154,Raccoon,2016,1,Female,Adult,3.3 kg,Undetermined,Poor body condition.  Rabies and canine distemper viruses were not detected.,09/09/2016,12/02/2016,"LeBlanc, LaCour",LADWF,
056-17,Bahnson,KY,Adair,"Rollen Coomer Road, Columbia",W17-419,Raccoon,2017,1,Male,Adult,7.9 kg,Undetermined,"#KDFWR-W-2017-06.  Extensive damage was present throughout the carcass, but in the absence of associated hemorrhage, the lesions did not appear to have been antemortem.",01/24/17,03/15/17,Mason/Stasiak,KYDFWR,
272-17,Niedringhaus,KY,Fayette,Lexington,W17-680,Raccoon,2017,1,Female,Adult,3.44 kg,Undetermined,#KDFWR-W-2017-25.  No rabies or canine distemper viruses were detected.,06/02/2017,06/26/17,McDermott/Stasiak,KYDFWR,
119-16,Elsmo,GA,Glynn,"Villas by the Sea, Jekyll Island",W16-566,Raccoon,2016,1,Male,Adult,Unknown,Undetermined; Rabies and canine distemper virus not detected,#M14057,03/03/2016,03/31/16,Ricks,GADNR,
200-18,Bahnson,GA,Burke,Barnhart Road,-,Raccoon,2018,4,Unknown,Unknown,Unknown,Unknown; rabies and canine distemper virus not detected.,Postmortem autolysis and likely scavenging severely limited the diagnostic value.,05/24/18,05/30/18,Taylor,GADNR,
897-19,Dugovich,NC,Gaston,"Smith Road, Mt. Holly",,Raccoon,2019,1,,,,,,11/26/19,,Ray,NCWRC,
971-19,Radisic,GA,Habersham,Tommy Irvin Road,,Raccoon,2019,1,,,,,,12/20/19,,Giles,GADNR,
310-16,Bryan,NC,Wayne,Selah Church Road,W16-754,Red Fox,2016,3,Both,6 wks,1.4-1.6 kg,A-C: No significant findings,No evidence of underlying infectious disease.  No evidence of rabies virus or canine distemper virus.,06/16/16,08/22/16,Batts,NCWRC,
176-18,Niedringhaus,LA,East Baton Rouge,Beacon Tree Drive,W18-493,Red Fox,2018,1,Male,Adult,4.195 kg,Anticoagulant rodenticide toxicosis,#RFOX-AM-EastBatonRouge-3May2018.  Bromadiolone: 100 ppb.  Brodifacoum and Difethialone: Trace.,05/04/2018,06/11/2018,Anderson/LaCour,LADWF,
357-15,Bahnson,MD,Laurel,Patuxent Research Refuge,W16-96,Red Fox,2015,1,Male,Juvenile,Unknown,"Bacterial (Pseudomonas aeruginosa, Streptococcus sp., and Lactobacillus sp. isolated) and verminous pneumonia",Canine distemper virus or canine parvovirus was not detected.,08/12/2015,09/18/15,Gibbs,USFWS,
403-15,Niedringhaus,KY,Franklin,"Moss Lane, Frankfort",W16-145,Red Fox,2015,1,Male,Adult,3.88 kg,Canine distemper; Sarcoptic mange,#KDFWR-W-2015-19.  Rabies not detected,08/28/15,09/25/15,Stasiak,KYDFWR,
120-19,Niedringhaus,WV,Gilmer,Unknown,W19-514,Red Fox,2019,1,Female,Adult,2.395 (skinned),Emaciation (cause unknown); mild pneumonia,Rabies virus was not detected.,03/14/19,04/08/2019,Rogers,WVDNR,
602-18,Kunkel,MO,Boone,"North Highway PP, Columbia",W19-259,Red Fox,2018,1,Male,Adult,2.962 kg,Emaciation; Cause of clinical signs undetermined,#18152,10/31/18,12/10/2018,Batten/Cordell/Russell,MODOC,
122-17,Niedringhaus,KY,Mercer,"Northpoint Training Center, Burgin",W17-512,Red Fox,2017,1,Male,Unknown,Unknown,Emaciation; sarcoptic mange,#KDFWR-W-2016-88.  Rabies and canine distemper virus were not detected.,03/02/2017,05/17/17,Adams/Stasiak,KYDFWR,
197-17,Dalton,KY,Warren,"Cave Mill Road, Bowling Green",W17-603,Red Fox,2017,1,Female,Adult,2.78 kg,Emaciation; sarcoptic mange,#KDFWR-W-2017-17.  Rabies and canine distemper virus were not detected.,04/11/2017,04/24/17,Lynch/Stasiak,KYDFWR,
397-16,Niedringhaus,KY,Russell,"Emerald Hill Lane, Russell Springs",W16-61,Red Fox,2016,1,Female,Adult,2.76 kg,Emaciation; sarcoptic mange; verminous pneumonia,#KDFWR-W-2016-91.  Rabies and canine distemper virus were not detected.,08/04/2016,08/29/16,Mason/Stasiak,KYDFWR,
172-17,Fenton,LA,Ascension,"Old Perkins Place Ave., Prairieville",W17-564,Red Fox,2017,1,Male,Adult,4.015 kg,Entrapment; Emaciation and dehydration; Anticoagulant rodenticide exposure (brodifacoum and bromadialone exposure),#RF-AM-Ascension-27March2017.  Rabies and canine distemper virus were not detected.,03/30/17,04/18/17,Anderson/LaCour,LADWF,
013-19,Dalton,WV,Roane,Cork Fork,W19-365,Red Fox,2019,1,Unknown,Unknown,Unknown,Mild lymphoplasmactic encephalitis (presumptive protozoal infection),"Canine distemper virus, rabies virus, and Toxoplasma gondii were not detected.",01/08/2019,03/20/19,McCrady,WVDNR,
165-18,Niedringhaus,GA,Gwinnett,Azalea Drive,-,Red Fox,2018,1,Female,Adult,5.6 kg,Rabies,Canine distemper virus was not detected.,04/26/18,05/09/2018,Von Seggern,GADNR,
147-16,Fenton,KY,McCracken,Paducah,W16-594,Red Fox,2016,1,Male,Adult,3.82 kg,Sarcoptic mange,#KDFWR-W-2016-23. Rabies not detected,03/16/16,05/09/2016,Stasiak,KYDFWR,
364-17,Niedringhaus,LA,Washington,"Ward Line Road, Bogalusa",W18-067,Red Fox,2017,1,Female,Adult,2.3 kg,Sarcoptic mange,#RFOX-UF-Washington-26July2017.  No rabies or canine distemper viruses were detected.,07/28/17,08/09/2017,Yeldell/LaCour,LADWF,
658-17,Bahnson,WV,Hampshire,South Branch River Road,W18-198,Red Fox,2017,1,Female,Subadult,3.2 kg,Sarcoptic mange,No rabies  or canine distemper viruses were detected.,10/26/17,11/15/17,Barton,WVDNR,
550-18,Kunkel,KS,Seward,Liberal,W19-201,Red Fox,2018,1,Female,Adult,2.9 kg,Sarcoptic mange,No rabies or canine distemper viruses were detected,10/10/2018,10/30/18,Schultz,KSDWPT,
839-19,Kunkel,NE,Montgomery,Uwharrie Point Community,W19-1015,Red Fox,2019,1,Female,Subadult,3.1 kg,Sarcoptic mange,Mites consistent with Sarcoptes scabiei,11/06/2019,12/17/19,Medford,NCWRC,
882-19,Weyna,KY,Calloway,Calloway,W19-1040,Red Fox,2019,1,Male,Adult,Unknown,Suspect trauma; pulmonary hemorrhage and edema,KDFWR-W-2019-119. Canine distemper virus was not detected.,11/22/19,12/06/2019,Casey,KYDFWR,
042-15,Niedringhaus,GA,DeKalb,"Leafmore-Creek Park neighborhood, north Decatur",W15-236,Red Fox,2015,1,Female,Adult,4.3 kg,Trauma,Rabies and canine distemper viruses were not detected.,02/09/2015,02/26/15,Sapp,UGA-Warnell,
